"Category","Offense"
"Violent Felony","Murder"
"Violent Felony","Manslaughter"
"Violent Felony","Attempted Murder"
"Violent Felony","Accessory to Murder"
"Violent Felony","Sexual Assault"
"Violent Felony","Child Sex Abuse"
"Violent Felony","Child Abuse"
"Violent Felony","Robbery"
"Violent Felony","Assault"
"Violent Felony","Arson"
"Violent Felony","Kidnapping"
"Violent Felony","Terrorism"
"Violent Felony","Supporting Terrorism"
"Violent Felony","Attempt, Violent"
"Violent Felony","Other Violent Felony"
"Misdemeanor","Burglary/Unlawful Entry"
"Misdemeanor","Theft"
"Misdemeanor","Forgery"
"Misdemeanor","Possession of Stolen Property"
"Misdemeanor","Destruction of Property"
"Misdemeanor","Drug Possession or Sale"
"Misdemeanor","Weapon Possession or Sale"
"Misdemeanor","Other Violent Misdemeanor"
"Misdemeanor","Other Nonviolent Misdemeanor"
"Nonviolent Felony","Sex Offender Registration"
"Nonviolent Felony","Tax Evasion/Fraud"
"Nonviolent Felony","Immigration"
"Nonviolent Felony","Fraud"
"Nonviolent Felony","Bribery"
"Nonviolent Felony","Perjury"
"Nonviolent Felony","Official Misconduct"
"Nonviolent Felony","Traffic Offense"
"Nonviolent Felony","Conspiracy"
"Nonviolent Felony","Solicitation"
"Nonviolent Felony","Obstruction of Justice"
"Nonviolent Felony","Failure to Pay Child Support"
"Nonviolent Felony","Dependent Adult Abuse"
"Nonviolent Felony","Attempt, Nonviolent"
"Nonviolent Felony","Other Nonviolent Felony"
"Nonviolent Felony","Military Justice Offense"
"Misconduct","Menacing"
"Misconduct","Stalking"
"Misconduct","Harassment"
"Misconduct","Threats"
"Misconduct","Filing a False Report"
"Misconduct","Other"
